"序号","SKU","活动ID","广告组ID","活动名称","广告组名称","投放类型","花费","订单","ACOS","最近手动调整时间","最近广告更新时间","匹配到的执行层对象数","其中可执行对象数","剩余原因"
"1","CEE0304","=""156647635625445""","=""316060968429033""","kw phrase_12 oz,dessert cups_cee0304","kw phrase_12 oz,dessert cups_cee0304","keywordTarget","0","0","","2026-04-10 13:01:10","2026-04-10 13:01:10","2","2","能匹配到执行层，当前仍有可执行对象"
"2","CEE0304","=""210207881186416""","=""417160387484526""","kw exact _9 oz,dessert cups_cee0304","kw exact _9 oz,dessert cups_cee0304","keywordTarget","","","","2026-04-10 13:01:28","2026-04-10 13:01:28","5","5","能匹配到执行层，当前仍有可执行对象"
"3","CEE0467","=""460236555018735""","=""354386209035895""","auto_fruit cups plastic_cee0467","fruit cups plastic-cee0467-system-a","auto","0.15","0","","2026-04-16 21:54:17","2026-04-09 19:08:04","4","4","能匹配到执行层，当前仍有可执行对象"
"4","CII1754","=""398037568779773""","=""282785695507618""","kw_new york souvenirs_cii1754","kw_new york souvenirs_cii1754","keywordTarget","1.52","0","","2026-04-21 08:21:29","2026-04-10 13:00:22","19","3","能匹配到执行层，当前仍有可执行对象"
"5","COO1855","=""355914299840298""","=""490494513940354""","asin_star keychain_coo1855","asin_star keychain_coo1855","productTarget","2.26","0","","2026-04-16 21:53:48","2026-04-10 10:28:22","4","2","能匹配到执行层，当前仍有可执行对象"
"6","GM3149","=""220377938264842""","=""54118362522617""","asin expanded_lab week_gm3149","asin expanded_lab week_gm3149","productTarget","2.39","1","0.170836","2026-04-09 16:47:45","2026-04-09 16:47:45","4","4","能匹配到执行层，当前仍有可执行对象"
"7","HAY1931","=""545764772260286""","=""358530268185438""","cruise ship ducks-hay1931-system-a","cruise ship ducks-hay1931-system-a","auto","0.13","0","","2026-04-16 22:08:37","2026-04-10 18:50:01","4","1","能匹配到执行层，当前仍有可执行对象"
"8","LED3945","=""489584341798677""","=""386889518330820""","kw2_appreciationballpoint_led3945","kw2_appreciationballpoint_led3945","keywordTarget","","","","2026-04-10 17:34:34","2026-04-10 17:34:34","7","2","能匹配到执行层，当前仍有可执行对象"
"9","LEM5778","=""235625895928900""","=""33746005366801""","kw broad_reward pencils_lem5778","kw broad_reward pencils_lem5778","keywordTarget","0","0","","2026-04-10 17:43:09","2026-04-10 17:43:09","2","2","能匹配到执行层，当前仍有可执行对象"
"10","MF6280","=""150843784479363""","=""329891282482199""","20260411-mf6280-system-a","20260411-mf6280-system-a","auto","0","0","","","2026-04-11 08:35:22","4","4","能匹配到执行层，当前仍有可执行对象"
"11","MF6292","=""247534281628792""","=""521279866184112""","20260411-mf6292-system-a","20260411-mf6292-system-a","auto","0","0","","","2026-04-11 08:35:22","4","4","能匹配到执行层，当前仍有可执行对象"
"12","MF6294","=""255965331927842""","=""97534675345469""","jumbo letter balloons-mf6294-system-keyword","jumbo letter balloons-mf6294-system-keyword","keywordTarget","0","0","","2026-04-10 17:38:08","2026-04-10 17:38:07","35","35","能匹配到执行层，当前仍有可执行对象"
"13","NAY0963","=""403666683939837""","=""344777026658167""","auto_ballpoint pen_nay0963","auto_normal","auto","0.18","0","","2026-04-16 22:08:31","2026-04-10 18:49:25","4","2","能匹配到执行层，当前仍有可执行对象"
"14","NEW0005","=""353299294704695""","=""512037718405737""","auto_wooden love sign_new0005","auto_wooden love sign_new0005","auto","0.16","0","","2026-04-16 22:08:43","2026-04-10 18:50:43","4","2","能匹配到执行层，当前仍有可执行对象"
"15","NO3390","=""353223566318509""","=""449400651740572""","kw2_butterfly baby shower_no3390","kw2_butterfly baby shower_no3390","keywordTarget","2.52","0","","2026-04-10 12:59:03","2026-04-10 12:59:03","8","4","能匹配到执行层，当前仍有可执行对象"
"16","OC1858","=""557251131287154""","=""484095254767288""","asin _photocard_oc1858","asin _photocard_oc1858","productTarget","0.24","0","","2026-03-30 17:11:35","2026-03-30 17:11:35","7","1","能匹配到执行层，当前仍有可执行对象"
"17","QA2074","=""310049441428650""","=""526366329139598""","wedding signs qa2074-a4","wedding signs qa2074-a4","auto","0.98","0","","2026-04-16 22:08:43","2026-04-10 18:50:47","4","1","能匹配到执行层，当前仍有可执行对象"
"18","QAA3143","=""491437878413359""","=""508039826045425""","kw_ crown brooch pins _qaa3143","kw_ crown brooch pins _qaa3143","keywordTarget","1.44","0","","2026-04-10 17:36:46","2026-04-10 17:36:46","20","7","能匹配到执行层，当前仍有可执行对象"
"19","SAN0148","=""64518337704234""","=""328848002967152""","kw phrase_1920s accessories_san0148","kw phrase_1920s accessories_san0148","keywordTarget","4.78","2","0.159439","2026-04-10 12:58:29","2026-04-10 12:58:29","3","2","能匹配到执行层，当前仍有可执行对象"
"20","SAN0148","=""215399361320823""","=""562709835355678""","asin exact_1920s accessories_san0148","asin exact_1920s accessories_san0148","productTarget","0.47","0","","2026-04-16 21:53:54","2026-04-10 10:30:13","8","8","能匹配到执行层，当前仍有可执行对象"
"21","SAN0148","=""120249868549726""","=""370846357268705""","kw exact_1920s accessories_san0148","kw exact_1920s accessories_san0148","keywordTarget","0.06","0","","2026-04-10 00:49:43","2026-04-10 00:49:43","4","2","能匹配到执行层，当前仍有可执行对象"
"22","SAN1103","=""544218351403957""","=""559575016293146""","asin_cowboyhat_san1103","asin_cowboyhat_san1103","productTarget","5.38","2","0.080322","2026-04-16 21:53:50","2026-04-10 10:29:12","5","5","能匹配到执行层，当前仍有可执行对象"
"23","SC3077","=""225787179894969""","=""87467799588303""","asin expanded_small jewelry tray_sc3077","asin expanded_small jewelry tray_sc3077","productTarget","35.31","6","0.248767","2026-04-11 20:08:16","2026-04-11 20:08:16","11","11","能匹配到执行层，当前仍有可执行对象"
"24","SHQ2216","=""437586183974838""","=""411483830947927""","auto_wooddiycars_shq2216","auto_wooddiycars_shq2216","auto","50.18","7","0.197613","2026-04-16 21:53:58","2026-04-10 10:31:57","4","4","能匹配到执行层，当前仍有可执行对象"
"25","SSU1756","=""196899776742868""","=""169223474590749""","asin_garment bag_ssu1756","asin","productTarget","0","0","","2026-04-16 21:53:56","2026-04-10 10:31:04","22","10","能匹配到执行层，当前仍有可执行对象"
"26","TH2618","=""342970504045479""","=""492508139144240""","auto_cable organizer_th2618","auto_cable organizer_th2618","auto","1.09","0","","2026-04-16 22:08:50","2026-04-10 18:51:35","4","4","能匹配到执行层，当前仍有可执行对象"
"27","TH2837","=""468076353069679""","=""443134028184551""","auto_silicone cable ties_th2837","auto_silicone cable ties_th2837","auto","69.65","14","0.249766","2026-04-16 21:54:03","2026-04-10 10:33:29","4","4","能匹配到执行层，当前仍有可执行对象"
"28","TH2843","=""396698961698398""","=""335413796452031""","auto_silicone cable ties_th2843","auto_silicone cable ties_th2843","auto","5.1","0","","2026-04-16 22:08:41","2026-04-10 18:50:31","4","4","能匹配到执行层，当前仍有可执行对象"
"29","UAN2599","=""77523746491918""","=""400846882330142""","asin_expand_inspirational_journal_uan2599","asin_expand_inspirational_journal_uan2599","productTarget","5.13","3","0.111594","2026-03-25 22:03:07","2026-04-10 11:33:34","6","1","能匹配到执行层，当前仍有可执行对象"
"30","XIX2011","=""133804200476128""","=""552974452710671""","20260211-xix2011-system-a","20260211-xix2011-system-a","auto","0","0","","2026-04-16 21:53:31","2026-04-10 01:57:39","4","4","能匹配到执行层，当前仍有可执行对象"
"31","YAN2278","=""268439054249692""","=""462820465028833""","auto_baby shower games boy_yan2278","auto_baby shower games boy_yan2278","auto","0","0","","2026-04-16 21:54:16","2026-04-10 10:37:44","4","1","能匹配到执行层，当前仍有可执行对象"
"32","YAN4858","=""121154884745962""","=""389740057048820""","20260411-yan4858-system-a","20260411-yan4858-system-a","auto","0","0","","","2026-04-11 08:38:32","4","4","能匹配到执行层，当前仍有可执行对象"
"33","YMF0656","=""531667109799420""","=""418702266519969""","auto_baby shower packet favors_ymf0656","auto_baby shower packet favors_ymf0656","auto","0.07","0","","2026-04-16 22:08:52","2026-04-10 18:51:43","4","4","能匹配到执行层，当前仍有可执行对象"
"34","YMF1073","=""532866261322279""","=""520192474138518""","auto_baby shower packet favors_ymf1073","auto_baby shower packet favors_ymf1073","auto","0.36","0","","2026-04-16 22:08:30","2026-04-10 18:49:20","4","3","能匹配到执行层，当前仍有可执行对象"
"35","YMF1073","=""532866261322279""","=""518248918147691""","auto_baby shower packet favors_ymf1073","auto2","auto","0","0","","2026-04-16 22:08:30","2026-04-10 18:49:19","4","4","能匹配到执行层，当前仍有可执行对象"
"36","ZUN0779","=""361963854941061""","=""347054937067834""","asin_tayler_zun0779","asin_tayler_zun0779","productTarget","8.25","3","0.125056","2026-04-16 21:53:42","2026-04-10 10:26:39","10","3","能匹配到执行层，当前仍有可执行对象"
"37","AE1181","=""116078586317326""","=""79966946165556""","glass bottles with cork ae1181-a ud","glass bottles with cork ae1181-a ud","auto","","","","2026-02-21 15:46:12","2026-02-21 15:46:11","4","0","能匹配到执行层，但执行对象全部是无效状态"
"38","DH2685","=""560878916499350""","=""368446356285646""","asin_safari goodie bag_dh2685","asin_safari goodie bag_dh2685","productTarget","","","","2026-03-30 17:45:53","2026-03-30 17:45:53","3","0","能匹配到执行层，但执行对象全部是无效状态"
"39","DH2685","=""300848337365885""","=""333603795971902""","auto_safari goodie bag_dh2685","auto_safari goodie bag_dh2685","auto","","","","2026-03-30 17:45:57","2026-03-30 17:45:57","4","0","能匹配到执行层，但执行对象全部是无效状态"
"40","DO0446","=""62802847441863""","=""43653321523238""","wooden cutting board do0446-system","wooden cutting board do0446-system","keywordTarget","","","","2026-03-12 04:38:33","2026-03-12 04:38:27","107","0","能匹配到执行层，但执行对象全部是无效状态"
"41","DUN1150","=""43389552451606""","=""93748062162119""","kw broad_easter bread basket_dun1150","kw broad_easter bread basket_dun1150","keywordTarget","0","0","","2026-04-08 10:23:16","2026-04-08 10:23:16","6","0","能匹配到执行层，但执行对象全部是无效状态"
"42","DUN1392","=""506021562500877""","=""505733559635653""","auto_commercial food storage_dun1392","auto_commercial food storage_dun1392","auto","","","","2026-02-21 15:46:12","2026-02-21 15:46:11","4","0","能匹配到执行层，但执行对象全部是无效状态"
"43","LED3945","=""317060601532949""","=""312977524975698""","asin_appreciationballpoint_led3945","asin_appreciationballpoint_led3945","keywordTarget","","","","","2026-03-25 20:45:57","2","0","能匹配到执行层，但执行对象全部是无效状态"
"44","LED3945","=""345228307015029""","=""555764324390883""","asin2_appreciationballpoint_led3945","asin2_appreciationballpoint_led3945","productTarget","","","","","2026-03-25 20:45:57","2","0","能匹配到执行层，但执行对象全部是无效状态"
"45","LIC8799","=""324989183455801""","=""529827628762187""","auto2_letters patches_lic8799","auto2_letters patches_lic8799","auto","","","","2026-03-09 14:24:52","2026-03-15 04:50:51","4","0","能匹配到执行层，但执行对象全部是无效状态"
"46","NAY0963","=""481583699624095""","=""341551208532334""","asin_ballpoint pen_nay0963","asin_ballpoint pen_nay0963","productTarget","","","","2026-03-25 23:26:15","2026-03-25 23:26:15","11","0","能匹配到执行层，但执行对象全部是无效状态"
"47","OC1858","=""465131688062269""","=""557772063447648""","asin_photocard_oc1858","asin_photocard_oc1858","productTarget","","","","2026-03-30 17:11:32","2026-03-30 17:11:32","8","0","能匹配到执行层，但执行对象全部是无效状态"
"48","PR2214","=""517029387792993""","=""464116936661377""","asin_easter bunny stuffed_pr2214","asin_easter bunny stuffed_pr2214","productTarget","","","","2026-04-08 19:51:40","2026-04-08 19:51:39","5","0","能匹配到执行层，但执行对象全部是无效状态"
"49","QA3874","=""558399939274268""","=""363943215040945""","auto3_resin figurines_qa3874","auto3_resin figurines_qa3874","auto","0","0","","2026-03-23 16:33:46","2026-03-23 16:33:46","4","0","能匹配到执行层，但执行对象全部是无效状态"
"50","QA3896","=""447627255152480""","=""330045573319481""","kw_blue floralbags_qa3896","kw_blue floralbags_qa3896","keywordTarget","","","","2026-03-30 17:47:04","2026-03-30 17:47:04","10","0","能匹配到执行层，但执行对象全部是无效状态"
"51","QA3896","=""497726141851853""","=""286868329990864""","auto_blue floralbags_qa3896","auto_blue floralbags_qa3896","auto","","","","2026-03-30 17:47:09","2026-03-30 17:47:09","4","0","能匹配到执行层，但执行对象全部是无效状态"
"52","UAN1383","=""392909508871585""","=""488757766669067""","auto_inspirational pens_uan1383","auto_inspirational pens_uan1383","auto","","","","2026-03-06 19:42:58","2026-03-21 04:36:56","4","0","能匹配到执行层，但执行对象全部是无效状态"
"53","YAN0087","=""495673565134857""","=""337378426796062""","kw_cardinal memorial_yan0087","kw_cardinal memorial_yan0087","keywordTarget","","","","2026-03-26 18:48:48","2026-03-26 18:48:48","3","0","能匹配到执行层，但执行对象全部是无效状态"
"54","YAN1353","=""385123769483270""","=""492374673770606""","kw_tieshoe_yan1353-2008","kw_core","keywordTarget","","","","2026-02-24 09:38:32","2026-02-24 09:38:32","21","0","能匹配到执行层，但执行对象全部是无效状态"
"55","YUT2590","=""538274549693124""","=""459435399789172""","kw_giant puppy dog_yut2590","kw_giant puppy dog_yut2590","keywordTarget","","","","2026-03-25 23:26:36","2026-03-25 23:26:36","1","0","能匹配到执行层，但执行对象全部是无效状态"
"56","ZO0891","=""284834511029071""","=""546789717653709""","christian gifts for women-zo0892-system-keyword","core","keywordTarget","","","","2026-04-10 13:02:33","2026-03-25 23:26:47","11","0","能匹配到执行层，但执行对象全部是无效状态"
"57","ZO0892","=""284834511029071""","=""546789717653709""","christian gifts for women-zo0892-system-keyword","core","keywordTarget","","","","2026-04-10 13:02:33","2026-03-25 23:26:47","11","0","能匹配到执行层，但执行对象全部是无效状态"
"58","ZO0892","=""547909368577983""","=""427534554674792""","auto_christian gifts for women_zo0892","christian gifts for women-zo0892-system-a","auto","","","","2026-03-25 23:26:30","2026-03-25 23:26:30","4","0","能匹配到执行层，但执行对象全部是无效状态"
"59","YUT2927","=""174188295321650""","=""131389669039495""","asin expanded_16 pool float_yut2927","asin expanded_16 pool float_yut2927","productTarget","","","","2026-04-01 18:00:21","2026-04-01 18:00:21","0","0","七天未调整池里还有，但已经找不到可写执行对象"
"60","YUT2946","=""47871559200623""","=""258915755920611""","asin expanded_21 pool float_yut2946","asin expanded_21 pool float_yut2946","productTarget","","","","2026-04-01 18:00:21","2026-04-01 18:00:21","0","0","七天未调整池里还有，但已经找不到可写执行对象"
"61","YUT4458","=""165994423797944""","=""189914526212417""","asin expanded_30th birthday pool float_yut4458","asin expanded_30th birthday pool float_yut4458","productTarget","","","","2026-04-08 21:33:35","2026-04-08 21:33:35","0","0","七天未调整池里还有，但已经找不到可写执行对象"
"62","YUT4460","=""80626871902288""","=""133607719792731""","asin expanded_60 pool float_yut4460","asin expanded_60 pool float_yut4460","productTarget","","","","2026-04-01 18:00:21","2026-04-01 18:00:20","0","0","七天未调整池里还有，但已经找不到可写执行对象"
"63","YUT4462","=""70911547003147""","=""183898473457194""","asin expanded_70th birthday pool float_yut4462","asin expanded_70th birthday pool float_yut4462","productTarget","","","","2026-04-01 18:00:19","2026-04-01 18:00:19","0","0","七天未调整池里还有，但已经找不到可写执行对象"